,Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Aruba,8.207969149898641,8.254595807226254,8.301222464553868,8.347849121881481,8.394475779209095,8.44110243653671,8.487729093864324,8.534355751191939,8.580982408519551,8.627609065847166,8.674235723174778,8.720862380502393,8.767489037830007,8.814115695157621,8.860742352485234,8.907369009812848,8.953995667140461,9.000622324468075,9.04724898179569,9.093875639123304,9.140502296450917,9.187128953778531,9.233755611106146,9.280382268433758,9.327008925761373,9.373635583088987,9.420262240416601,9.466888897744214,9.513515555071828,9.560142212399441
1,Afghanistan,3.7377840300426683,3.2532723256256446,2.7687606212086244,2.2842489167916007,1.7997372123745805,1.3152255079575568,0.830713803540533,0.34620209912351285,-0.13830960529350733,-0.6228213097105311,-1.1073330141275548,-1.5918447185445785,-2.0763564229616023,-2.560868127378619,-3.0453798317956426,-3.5298915362126664,-4.01440324062969,-4.498914945046714,-4.983426649463738,-5.467938353880754,-5.952450058297778,-6.436961762714802,-6.921473467131825,-7.405985171548849,-7.890496875965866,-8.37500858038289,-8.859520284799913,-9.344031989216937,-9.82854369363396,-10.313055398050984
2,Angola,9.176529944406369,8.771509919143696,8.366489893881024,7.961469868618352,7.556449843355683,7.1514298180930105,6.746409792830338,6.341389767567669,5.936369742304997,5.531349717042325,5.126329691779652,4.721309666516984,4.316289641254311,3.911269615991639,3.5062495907289666,3.101229565466298,2.6962095402036255,2.291189514940953,1.8861694896782808,1.481149464415612,1.0761294391529397,0.6711094138902709,0.26608938862759857,-0.13893063663507377,-0.5439506618977461,-0.9489706871604184,-1.3539907124230908,-1.759010737685763,-2.1640307629484283,-2.5690507882111007
3,Albania,5.625176034852006,5.578842434630742,5.532508834409477,5.486175234188213,5.439841633966948,5.393508033745683,5.347174433524419,5.300840833303154,5.25450723308189,5.208173632860625,5.16184003263936,5.115506432418096,5.0691728321968315,5.022839231975567,4.976505631754302,4.930172031533038,4.883838431311773,4.837504831090508,4.791171230869244,4.744837630647979,4.698504030426715,4.65217043020545,4.605836829984185,4.559503229762921,4.513169629541656,4.466836029320392,4.420502429099127,4.374168828877862,4.327835228656598,4.2815016284353336
4,Arab World,2.6783102987417333,2.425267742483417,2.1722251862251003,1.9191826299667838,1.6661400737084673,1.4130975174501508,1.160054961191836,0.9070124049335178,0.653969848675203,0.40092729241688474,0.14788473615857,-0.10515782009974828,-0.358200376358063,-0.6112429326163813,-0.864285488874696,-1.1173280451330143,-1.370370601391329,-1.6234131576496473,-1.876455713907962,-2.1294982701662803,-2.382540826424595,-2.6355833826829134,-2.888625938941228,-3.1416684951995464,-3.394711051457861,-3.6477536077161794,-3.900796163974494,-4.153838720232812,-4.406881276491127,-4.659923832749445
5,United Arab Emirates,-1.0835226947017915,-1.2667525697998059,-1.449982444897822,-1.6332123199958364,-1.8164421950938525,-1.9996720701918669,-2.1829019452898812,-2.3661318203878974,-2.5493616954859117,-2.732591570583928,-2.9158214456819422,-3.0990513207799584,-3.2822811958779727,-3.465511070975987,-3.6487409460740032,-3.8319708211720176,-4.015200696270034,-4.198430571368048,-4.3816604464660625,-4.564890321564079,-4.748120196662093,-4.931350071760109,-5.1145799468581234,-5.29780982195614,-5.481039697054154,-5.664269572152168,-5.8474994472501844,-6.030729322348199,-6.213959197446215,-6.397189072544231
6,Argentina,7.398136115300763,7.367729858546284,7.3373236017918035,7.306917345037324,7.276511088282844,7.246104831528365,7.215698574773885,7.185292318019405,7.154886061264926,7.124479804510447,7.094073547755967,7.063667291001487,7.033261034247007,7.002854777492528,6.972448520738048,6.942042263983568,6.911636007229089,6.88122975047461,6.85082349372013,6.82041723696565,6.7900109802111706,6.759604723456691,6.729198466702211,6.698792209947731,6.668385953193252,6.637979696438773,6.607573439684293,6.577167182929813,6.546760926175334,6.5163546694208545
7,Armenia,9.6635063532447,9.718258760309686,9.773011167374673,9.82776357443966,9.882515981504646,9.937268388569633,9.99202079563462,10.046773202699608,10.101525609764593,10.156278016829582,10.211030423894567,10.265782830959555,10.320535238024542,10.375287645089529,10.430040052154515,10.484792459219502,10.539544866284489,10.594297273349476,10.649049680414462,10.703802087479449,10.758554494544438,10.813306901609423,10.868059308674411,10.922811715739396,10.977564122804385,11.03231652986937,11.087068936934358,11.141821343999345,11.196573751064332,11.251326158129318
8,Antigua and Barbuda,5.553655168863772,5.514517237712699,5.475379306561627,5.436241375410554,5.397103444259482,5.357965513108409,5.318827581957336,5.279689650806263,5.2405517196551905,5.201413788504118,5.162275857353045,5.123137926201973,5.0839999950509,5.044862063899827,5.005724132748755,4.966586201597682,4.927448270446609,4.888310339295536,4.849172408144463,4.8100344769933905,4.770896545842318,4.731758614691246,4.692620683540173,4.653482752389101,4.614344821238028,4.575206890086955,4.536068958935882,4.496931027784809,4.457793096633736,4.418655165482663
9,Australia,6.00163339649108,5.954640256217985,5.907647115944889,5.860653975671793,5.813660835398698,5.766667695125602,5.7196745548525065,5.6726814145794116,5.625688274306316,5.57869513403322,5.531701993760125,5.48470885348703,5.437715713213933,5.390722572940838,5.343729432667743,5.296736292394647,5.249743152121551,5.202750011848456,5.155756871575361,5.108763731302265,5.06177059102917,5.014777450756074,4.967784310482978,4.920791170209883,4.873798029936788,4.826804889663692,4.779811749390596,4.732818609117501,4.685825468844405,4.63883232857131
